id|title|year|country|directorName|Actor1|Actor2|Actor3|rtAllCriticsRating|MovieStarPower|MovieStarPowerWCntry|AudienceRating|StarAud|Genre1|Genre2|Genre3|Actor1NameEndsInA
2|Jumanji|1995|USA|Joe Johnston|Robin Williams|Bonnie Hunt|Kirsten Dunst|5.6|159|52.47|3.2|3.724700|Children|Fantasy|Adventure|F
4|Waiting to Exhale|1995|USA|Forest Whitaker|Whitney Houston|Angela Bassett|Loretta Devine|5.6|52|17.16|3.3|3.471600|Romance|Comedy|Drama|F
9|Sudden Death|1995|USA|Peter Hyams|Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|5.2|75|24.75|2.6|2.847500|Action|Action|Action|F
11|The American President|1995|USA|Rob Reiner|Michael Douglas|Annette Bening|Martin Sheen|7|138|45.54|3.2|3.655400|Romance|Comedy|Drama|F
18|Four Rooms|1995|USA|Alexandre Rockwell|Tim Roth|Valeria Golino|Jennifer Beals|3.5|82|27.06|3.5|3.770600|Thriller|Comedy|Drama|F
20|Money Train|1995|USA|Joseph Ruben|Wesley Snipes|Woody Harrelson|Jennifer Lopez|4|152|50.16|2.7|3.201600|Crime|Action|Thriller|F
27|Now and Then|1995|USA|Lesli Linka Glatter|Christina Ricci|Thora Birch|Gaby Hoffmann|4.7|78|25.74|3.5|3.757400|Drama|Drama|Drama|T
29|La cité des enfants perdus|1995|France|Jean-Pierre Jeunet|Ron Perlman|Daniel Emilfork|Judith Vittet|7|35|32.90|4.0|4.329000|Mystery|Fantasy|Sci-Fi|F
36|Dead Man Walking|1995|UK|Tim Robbins|Susan Sarandon|Sean Penn|Robert Prosky|8.2|156|140.40|3.6|5.004000|Crime|Drama|Crime|F
43|Restoration|1995|USA|Michael Hoffman|Robert Downey Jr.|Polly Walker|Meg Ryan|6.3|143|47.19|3.3|3.771900|Drama|Drama|Drama|F
52|Mighty Aphrodite|1995|USA|Woody Allen|Woody Allen|Helena Bonham Carter|Mira Sorvino|6.7|128|42.24|3.3|3.722400|Romance|Comedy|Drama|F
54|The Big Green|1995|USA|Holly Goldberg Sloan|Yareli Arizmendi|John Bourg|Olivia d'Abo|2.8|14|4.62|2.7|2.746200|Children|Comedy|Children|F
