apachelog.host,apachelog.identity,apachelog.user,apachelog.time,apachelog.request,apachelog.status,apachelog.size,apachelog.referer,apachelog.agent
66.249.67.3,-,-,[20/Jul/2009:20:12:22 -0700],"""GET /gallery/main.php?g2_controller=exif.SwitchDetailMode&g2_mode=detailed&g2_return=%2Fgallery%2Fmain.php%3Fg2_itemId%3D15741&g2_returnName=photo HTTP/1.1""",302,5,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.67.3,-,-,[20/Jul/2009:20:12:25 -0700],"""GET /gallery/main.php?g2_itemId=15741&g2_fromNavId=x8fa12efc HTTP/1.1""",200,8068,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
64.233.172.17,-,-,[20/Jul/2009:20:12:26 -0700],"""GET /gwidgets/alexa.xml HTTP/1.1""",200,2969,"""-""","""Mozilla/5.0 (compatible) Feedfetcher-Google; (+http://www.google.com/feedfetcher.html)"""
74.125.74.193,-,-,[20/Jul/2009:20:13:01 -0700],"""GET /gwidgets/alexa.xml HTTP/1.1""",200,2969,"""-""","""Mozilla/5.0 (compatible) Feedfetcher-Google; (+http://www.google.com/feedfetcher.html)"""
192.168.1.198,-,-,[20/Jul/2009:20:13:18 -0700],"""GET / HTTP/1.1""",200,17935,"""-""","""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; en-us) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Safari/530.17"""
192.168.1.198,-,-,[20/Jul/2009:20:13:18 -0700],"""GET /style.css HTTP/1.1""",200,1504,"""http://example.org/""","""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; en-us) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Safari/530.17"""
192.168.1.198,-,-,[20/Jul/2009:20:13:19 -0700],"""GET /favicon.ico HTTP/1.1""",404,146,"""http://example.org/""","""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; en-us) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Safari/530.17"""
66.249.67.3,-,-,[20/Jul/2009:20:13:21 -0700],"""GET /gallery/main.php?g2_controller=exif.SwitchDetailMode&g2_mode=detailed&g2_return=%2Fgallery%2Fmain.php%3Fg2_itemId%3D30893&g2_returnName=photo HTTP/1.1""",302,5,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.67.3,-,-,[20/Jul/2009:20:13:24 -0700],"""GET /gallery/main.php?g2_itemId=30893&g2_fromNavId=xfc647d65 HTTP/1.1""",200,8196,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
66.249.67.3,-,-,[20/Jul/2009:20:13:29 -0700],"""GET /gallery/main.php?g2_view=search.SearchScan&g2_form%5BuseDefaultSettings%5D=1&g2_return=%2Fgallery%2Fmain.php%3Fg2_itemId%3D15789&g2_returnName=photo HTTP/1.1""",200,6360,"""-""","""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
