Country,Region,Pop,Life,GDP,EXPORTABLE
Afghanistan ,ASIA,31056997,59.612,748.1128133,TRUE
Albania ,EUROPE,3581655,76.78,6101.576853,TRUE
Algeria ,AFRICA,32930091,70.615,7168.564544,TRUE
Angola ,AFRICA,12127071,50.689,3354.650958,TRUE
Argentina ,LATIN AMERICA,39921833,75.772,10833.40561,TRUE
Armenia ,ASIA,2976372,74.291,4096.440119,TRUE
Aruba ,LATIN AMERICA,71891,75.059,28000,TRUE
Australia ,OCEANIA,20264082,82.091,32719.02501,TRUE
Austria ,EUROPE,8192880,80.595,33626.38683,TRUE
Azerbaijan ,ASIA,7961619,70.518,4496.143936,TRUE
Bahrain ,ASIA,698585,76.203,28068.47168,TRUE
Bangladesh ,ASIA,147365352,69.449,1164.596077,TRUE
Barbados ,LATIN AMERICA,279912,74.875,17964.8368,TRUE
Belarus ,EUROPE,10293011,69.613,8540.816352,TRUE
Belgium ,EUROPE,10379067,80.007,32189.35133,TRUE
Belize ,LATIN AMERICA,287730,73.24,6254.342073,TRUE
Benin ,AFRICA,7862944,58.797,1349.137385,TRUE
Bhutan ,ASIA,2279723,67.015,3480.176983,TRUE
Bolivia ,LATIN AMERICA,8989046,66.362,3772.038631,TRUE
Botswana ,AFRICA,1639833,46.588,11542.21597,TRUE
Brazil ,LATIN AMERICA,188078227,73.121,8509.426303,TRUE
Brunei ,ASIA,379444,77.956,48377.12574,TRUE
Bulgaria ,EUROPE,7385367,73.243,9809.338565,TRUE
Burkina Faso ,AFRICA,13902972,55.081,1013.54087,TRUE
Burundi ,AFRICA,8090068,52.638,485.8903454,TRUE
Cambodia ,ASIA,13881427,70.811,1508.008397,TRUE
Cameroon ,AFRICA,17340702,53.718,1985.738586,TRUE
Canada ,AMERICA,33098932,80.986,35033.42293,TRUE
Cape Verde ,AFRICA,420979,74.094,2627.66234,TRUE
Central African Rep. ,AFRICA,4303356,48.139,672.0038041,TRUE
Chad ,AFRICA,9944201,49.794,1373.942588,TRUE
Chile ,LATIN AMERICA,16134219,79.168,12662.91836,TRUE
China ,ASIA,1313973713,74.868,4114.572834,TRUE
Colombia ,LATIN AMERICA,43593035,73.424,7304.555744,TRUE
Comoros ,AFRICA,690948,60.223,1052.770489,TRUE
Congo: Dem. Rep. ,AFRICA,62660551,49.01,276.993508,TRUE
Costa Rica ,LATIN AMERICA,4075261,79.28,9041.537249,TRUE
Cote d'Ivoire ,AFRICA,17654843,49.642,1666.009606,TRUE
Croatia ,EUROPE,4494749,76.54,15331.78789,TRUE
Cuba ,LATIN AMERICA,11382820,78.736,2900,TRUE
Cyprus ,ASIA,784301,79.348,24407.93895,TRUE
Denmark ,EUROPE,5450661,78.969,33193.23729,TRUE
Djibouti ,AFRICA,486530,60.307,1840.238177,TRUE
Ecuador ,LATIN AMERICA,13547510,75.647,6510.394446,TRUE
Egypt ,AFRICA,78887007,70.478,4490.619597,TRUE
El Salvador ,LATIN AMERICA,6822378,71.88,5702.187624,TRUE
Equatorial Guinea ,AFRICA,540109,51.483,24813.40655,TRUE
Eritrea ,AFRICA,4786994,61.275,596.1189084,TRUE
Estonia ,BALTICS,1324333,74.094,16547.96064,TRUE
Ethiopia ,AFRICA,74777981,61.486,636.0687043,TRUE
Fiji ,OCEANIA,905949,69.258,4323.300789,TRUE
Finland ,EUROPE,5231372,79.987,30707.94588,TRUE
France ,EUROPE,60876136,81.35,29452.66778,TRUE
French Guiana ,LATIN AMERICA,199509,76.426,8300,TRUE
French Polynesia ,OCEANIA,274578,75.618,17500,TRUE
Gabon ,AFRICA,1424906,62.333,13014.26414,TRUE
Georgia ,C.W. OF IND. STATES,4661473,73.883,3610.648433,TRUE
Germany ,EUROPE,82422299,80.23972189,31114.53059,TRUE
Ghana ,AFRICA,22409572,60.626,1208.014388,TRUE
Greece ,EUROPE,10688058,80.23,24348.40224,TRUE
Greenland ,AMERICA,56361,70.775,20000,TRUE
Grenada ,LATIN AMERICA,89703,72.375,10031.49419,TRUE
Guadeloupe ,LATIN AMERICA,452776,80.141,8000,TRUE
Guam ,OCEANIA,171019,78.046,21000,TRUE
Guatemala ,LATIN AMERICA,12293545,71.1,4061.586435,TRUE
Guinea ,AFRICA,9690222,55.317,970.8830274,TRUE
Guinea-Bissau ,AFRICA,1442029,53.578,1016.693781,TRUE
Guyana ,LATIN AMERICA,767245,65.775,2536.380978,TRUE
Haiti ,LATIN AMERICA,8308504,45,1023.232261,TRUE
Honduras ,LATIN AMERICA,7326496,72.854,3276.858212,TRUE
Hungary ,EUROPE,9981334,74.227,16974.55981,TRUE
Iceland ,EUROPE,299388,81.707,34889.18754,TRUE
India ,ASIA,1095351995,65.65,2208.58735,TRUE
Indonesia ,ASIA,245452739,70.185,3102.28377,TRUE
Iran ,ASIA,68688433,73.094,9228.236095,TRUE
Iraq ,ASIA,26783383,68.753,2989.673351,TRUE
Ireland ,EUROPE,4062235,80.151,38896.38661,TRUE
Israel ,ASIA,6352117,81.295,23339.95407,TRUE
Italy ,EUROPE,58133509,81.923,28279.87053,TRUE
Jamaica ,LATIN AMERICA,2758124,72.897,7224.370255,TRUE
Japan ,ASIA,127463611,83.092,30441.34813,TRUE
Jordan ,ASIA,5906760,73.39,4334.477445,TRUE
Kazakhstan ,ASIA,15233244,66.108,8699.098081,TRUE
Kenya ,AFRICA,34707817,59.58,1346.397519,TRUE
Kiribati ,OCEANIA,105432,67.945,2341.633415,TRUE
