Country,Region,Pop,Life,GDP
Afghanistan ,ASIA,31056997,59.612,748.1128133
Albania ,EUROPE,3581655,76.78,6101.576853
Algeria ,AFRICA,32930091,70.615,7168.564544
Angola ,AFRICA,12127071,50.689,3354.650958
Argentina ,LATIN AMERICA,39921833,75.772,10833.40561
Luxembourg ,EUROPE,474413,80.004,68319.63721
United Kingdom ,EUROPE,60609153,80.085,32737.9538
Georgia ,C.W. OF IND. STATES,4661473,73.883,3610.648433
Gabon ,AFRICA,1424906,62.333,13014.26414
Georgia ,C.W. OF IND. STATES,4661473,73.883,3610.648433
Germany ,EUROPE,82422299,80.23972189,31114.53059
Ghana ,AFRICA,22409572,60.626,1208.014388
Greece ,EUROPE,10688058,80.23,24348.40224
Greenland ,AMERICA,56361,70.775,20000
Grenada ,LATIN AMERICA,89703,72.375,10031.49419
Guadeloupe ,LATIN AMERICA,452776,80.141,8000
Guam ,OCEANIA,171019,78.046,21000
